-0.93	Silence
-0.0012018150000000505	A
15.258140589	A
30.168253968000002	B
45.16632653	A
60.184852607	A
75.36956916	A
90.19764172299999	A
104.97199546399999	A
120.073854875	B
135.18705215399999	A
150.07142857099998	B
165.07217687	A
180.201020408	C
195.289705215	A
210.35598639399998	C
225.638820861	A
240.824671201	A
255.98723356	A
271.141133786	B
286.227324263	A
301.278662131	A
316.468412698	A
331.303015873	B
346.292811791	B
361.23414965899997	B
375.98941043	A
390.827278911	B
405.29770974999997	A
419.995623582	A
435.164353741	A
450.492131519	A
465.970453514	A
481.295782312	A
496.52079365	A
511.72095238	A
527.1478458040001	A
542.5605668930001	A
557.413832199	A
572.319750566	A
587.106417233	A
601.6972335600001	A
615.954535147	A
630.25802721	A
644.655464852	A
659.1512471650001	A
675.1881632650001	A
690.917029478	B
706.948888888	A
724.089863945	Silence
728.0430612240001	End
